Description,Revenue,Cumulative_%,ABC_Category
SET OF 3 HEART COOKIE CUTTERS,15388.44,46.12862140330328,A - Top
FELTCRAFT PRINCESS CHARLOTTE DOLL,15354.35,46.20606237866626,A - Top
SET/6 RED SPOTTY PAPER PLATES,15334.029999999999,46.28340086837407,A - Top
FELTCRAFT CHRISTMAS FAIRY,15282.81,46.36048102563812,A - Top
SET OF 20 VINTAGE CHRISTMAS NAPKINS,15275.82,46.437525928240284,A - Top
PACK OF 60 DINOSAUR CAKE CASES,15236.62,46.51437312229507,A - Top
BEWARE OF THE CAT METAL SIGN ,15167.38,46.590871098497324,A - Top
RED RETROSPOT ROUND CAKE TINS,15123.199999999999,46.66714624909695,A - Top
RED RETROSPOT MINI CASES,15118.47,46.74339754353768,A - Top
AREA PATROLLED METAL SIGN,15110.980000000001,46.81961106152383,A - Top
ZINC FOLKART SLEIGH BELLS,15072.58,46.89563090583093,A - Top
WOODEN ADVENT CALENDAR CREAM,15060.57,46.971590176677466,A - Top
WOODEN SKITTLES GARDEN SET,14881.94,47.04664851186543,A - Top
ALARM CLOCK BAKELIKE IVORY,14867.27,47.1216328576557,A - Top
OPEN CLOSED METAL SIGN,14807.300000000001,47.19631473963002,A - Top
BROCADE RING PURSE ,14766.42,47.27079043983351,A - Top
SET OF 2 WOODEN MARKET CRATES,14677.84,47.34481937924298,A - Top
VINTAGE SNAKES & LADDERS,14651.33,47.41871461320371,A - Top
RED SPOTTY ROUND CAKE TINS,14646.039999999999,47.49258316659771,A - Top
WOODEN HAPPY BIRTHDAY GARLAND,14593.320000000002,47.56618582216986,A - Top
PINK HEART SHAPE EGG FRYING PAN,14525.0,47.639443899988024,A - Top
BLUE 3 PIECE MINI DOTS CUTLERY SET,14464.380000000001,47.71239623565974,A - Top
WHITE SPOT RED CERAMIC DRAWER KNOB,14411.13,47.78508000040932,A - Top
LUNCH BAG PINK RETROSPOT,14391.72,47.85766586916645,A - Top
LUNCH BOX WITH CUTLERY RETROSPOT ,14348.82,47.93003536811026,A - Top
KENSINGTON COFFEE SET,14266.980000000001,48.0019921000256,A - Top
YOU'RE CONFUSING ME METAL SIGN ,14262.61,48.07392679147277,A - Top
JUMBO BAG PEARS,14188.960000000001,48.145490022855824,A - Top
SET OF 3 BUTTERFLY COOKIE CUTTERS,14076.34,48.21648524565204,A - Top
MINT KITCHEN SCALES,14016.800000000001,48.28718017337401,A - Top
WOODEN BOX ADVENT CALENDAR ,13999.1,48.35778582963455,A - Top
JUMBO BAG VINTAGE CHRISTMAS ,13972.710000000001,48.42825838567659,A - Top
VICTORIAN SEWING BOX MEDIUM,13968.48,48.49870960735243,A - Top
CAKE STAND 3 TIER MAGIC GARDEN,13965.519999999999,48.569145900015506,A - Top
FELTCRAFT DOLL ROSIE,13921.730000000001,48.639361334074266,A - Top
RED STRIPE CERAMIC DRAWER KNOB,13912.17,48.70952855145668,A - Top
DOORMAT AIRMAIL ,13875.59,48.77951127448546,A - Top
HEART FILIGREE DOVE LARGE,13873.539999999999,48.84948365816417,A - Top
BINGO SET,13862.17,48.919398696276986,A - Top
GROW YOUR OWN PLANT IN A CAN ,13856.6,48.98928564161916,A - Top
VICTORIAN SEWING BOX SMALL ,13843.92,49.059108634298575,A - Top
BLUE STRIPE CERAMIC DRAWER KNOB,13839.18,49.12890772038323,A - Top
PINK CHERRY LIGHTS,13787.93,49.198448322716544,A - Top
TRADITIONAL KNITTING NANCY,13784.319999999998,49.267970717706596,A - Top
SWEETHEART CAKESTAND 3 TIER,13753.38,49.33733706416463,A - Top
FULL ENGLISH BREAKFAST PLATE,13750.11,49.406686918098416,A - Top
TEA TIME TEA TOWELS ,13714.66,49.475857976930065,A - Top
DOUGHNUT LIP GLOSS ,13695.77,49.54493376243366,A - Top
IVORY DINER WALL CLOCK,13689.85,49.61397968991172,A - Top
SAVE THE PLANET MUG,13654.89,49.6828492936445,A - Top
DOORMAT MULTICOLOUR STRIPE,13634.35,49.75161530213332,A - Top
FILIGRIS HEART WITH BUTTERFLY,13552.97,49.81997086364294,A - Top
CHILDS BREAKFAST SET CIRCUS PARADE,13437.03,49.887741671862216,A - Top
CARRIAGE,13426.0,49.955456849334624,A - Top
LOVE HOT WATER BOTTLE,13334.320000000002,50.0227096308983,A - Top
LUNCH BAG ALPHABET DESIGN,13325.55,50.089918180218085,A - Top
FRYING PAN UNION FLAG,13298.57,50.156990653604,A - Top
SET OF 10 LED DOLLY LIGHTS,13290.519999999999,50.2240225261275,A - Top
WHITE SPOT BLUE CERAMIC DRAWER KNOB,13272.39,50.29096295844785,A - Top
SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,50.357888764370564,A - Top
CHRISTMAS TOILET ROLL,13263.93,50.42478652795849,A - Top
BAG 250g SWIRLY MARBLES,13235.16,50.49153918759469,A - Top
SET/20 RED RETROSPOT PAPER NAPKINS ,13231.539999999999,50.55827358945177,A - Top
BREAD BIN DINER STYLE RED ,13213.97,50.624919375513535,A - Top
PINK PAPER PARASOL ,13210.85,50.69154942558885,A - Top
DOOR MAT NEW ENGLAND,13201.61,50.75813287293516,A - Top
CHARLOTTE BAG PINK POLKADOT,13172.0,50.824566979718,A - Top
LARGE CIRCULAR MIRROR MOBILE,13153.8,50.89090929324672,A - Top
3 STRIPEY MICE FELTCRAFT,13144.52,50.957204802303,A - Top
ADVENT CALENDAR GINGHAM SACK,13141.08,51.02348296142553,A - Top
SUKI  SHOULDER BAG,13103.21,51.089570119969274,A - Top
PAPER BUNTING COLOURED LACE,13076.880000000001,51.15552448090964,A - Top
DOORMAT UNION JACK GUNS AND ROSES,13043.59,51.22131094089231,A - Top
PLASTERS IN TIN SKULLS,13013.149999999998,51.28694387413565,A - Top
HANGING METAL HEART LANTERN,12985.309999999998,51.352436393961675,A - Top
 SET 2 TEA TOWELS I LOVE LONDON ,12977.66,51.41789033035945,A - Top
DOORMAT TOPIARY,12927.53,51.48309143182153,A - Top
SET OF 72 PINK HEART PAPER DOILIES,12913.24,51.54822046044835,A - Top
PHARMACIE FIRST AID TIN,12879.460000000001,51.61317911676064,A - Top
PHOTO FRAME CORNICE,12864.25,51.678061060139115,A - Top
VINTAGE RED KITCHEN CABINET,12845.0,51.742845914498794,A - Top
