Description,Sold_qty,return_qyt,Return_rate
12 PINK HEN+CHICKS IN BASKET,99,11.0,11.11111111111111
12 PINK ROSE PEG PLACE SETTINGS,1519,12.0,0.7899934167215273
12 RED ROSE PEG PLACE SETTINGS,1258,0.0,0.0
15 PINK FLUFFY CHICKS IN BOX,32,0.0,0.0
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2685,93.0,3.4636871508379885
16 PC CUTLERY SET PANTRY DESIGN,4,0.0,0.0
16 PIECE CUTLERY SET PANTRY DESIGN,254,2.0,0.7874015748031495
18PC WOODEN CUTLERY SET DISPOSABLE,567,0.0,0.0
2 DAISIES HAIR COMB,42,6.0,14.285714285714285
2 PICTURE BOOK EGGS EASTER BUNNY,768,0.0,0.0
2 PICTURE BOOK EGGS EASTER CHICKS,738,1.0,0.13550135501355012
2 PICTURE BOOK EGGS EASTER DUCKS,685,0.0,0.0
20 DOLLY PEGS RETROSPOT,5561,49.0,0.8811364862434813
200 BENDY SKULL STRAWS,1257,1.0,0.07955449482895784
200 RED + WHITE BENDY STRAWS,2136,5.0,0.23408239700374533
24 HANGING EASTER EGGS FLORAL TUB,677,5.0,0.7385524372230428
3 BIRDS CANVAS SCREEN,3,0.0,0.0
3 BLACK CATS W HEARTS BLANK CARD,79,0.0,0.0
3 DRAWER ANTIQUE WHITE WOOD CABINET,734,41.0,5.5858310626703
3 GARDENIA MORRIS BOXED CANDLES,849,11.0,1.2956419316843346
3 HEARTS HANGING DECORATION RUSTIC,8985,82.0,0.912632164718976
3 HOOK HANGER MAGIC GARDEN,2732,17.0,0.6222547584187409
3 HOOK PHOTO SHELF ANTIQUE WHITE,3141,154.0,4.902897166507482
3 PIECE JIGSAW TOADSTOOLS,16,0.0,0.0
3 PIECE SPACEBOY COOKIE CUTTER SET,2761,14.0,0.5070626584570808
3 PINK HEN+CHICKS IN BASKET,100,0.0,0.0
3 RAFFIA RIBBONS 50'S CHRISTMAS ,2095,10.0,0.47732696897374705
3 RAFFIA RIBBONS VINTAGE CHRISTMAS,824,0.0,0.0
3 ROSE MORRIS BOXED CANDLES,1314,23.0,1.750380517503805
3 STRIPEY MICE FELTCRAFT,7124,762.0,10.696238068500842
3 TIER CAKE TIN GREEN AND CREAM,566,15.0,2.65017667844523
3 TIER CAKE TIN RED AND CREAM,894,137.0,15.324384787472036
3 TIER SWEETHEART GARDEN SHELF,61,1.0,1.639344262295082
3 TRADITIONAL COOKIE CUTTERS  SET,354,0.0,0.0
3 TRADITIONAl BISCUIT CUTTERS  SET,1488,38.0,2.553763440860215
3 WHITE CHOC MORRIS BOXED CANDLES,1184,0.0,0.0
3 WICK CHRISTMAS BRIAR CANDLE ,282,8.0,2.8368794326241136
36 DOILIES DOLLY GIRL,1965,16.0,0.8142493638676844
36 DOILIES SPACEBOY DESIGN ,709,0.0,0.0
36 DOILIES VINTAGE CHRISTMAS,7851,612.0,7.795185326709973
36 FOIL HEART CAKE CASES,2494,152.0,6.094627105052125
36 FOIL STAR CAKE CASES ,1448,0.0,0.0
36 PENCILS TUBE POSY,233,9.0,3.862660944206009
36 PENCILS TUBE RED RETROSPOT,4761,210.0,4.410838059231255
36 PENCILS TUBE RED SPOTTY,3395,180.0,5.3019145802650955
36 PENCILS TUBE SKULLS,4117,18.0,0.43721156181685694
36 PENCILS TUBE WOODLAND,3792,76.0,2.0042194092827006
3D CHRISTMAS STAMPS STICKERS ,2018,34.0,1.6848364717542121
3D DOG PICTURE PLAYING CARDS,1280,25.0,1.953125
3D HEARTS  HONEYCOMB PAPER GARLAND,912,35.0,3.8377192982456143
3D SHEET OF CAT STICKERS,1231,4.0,0.3249390739236393
3D SHEET OF DOG STICKERS,1378,0.0,0.0
3D SHEET OF SEA WORLD STICKERS,149,0.0,0.0
3D STICKERS CHRISTMAS STAMPS,940,0.0,0.0
3D STICKERS TRADITIONAL CHRISTMAS ,980,0.0,0.0
3D STICKERS VINTAGE CHRISTMAS,1060,0.0,0.0
3D TRADITIONAL CHRISTMAS STICKERS,2461,20.0,0.8126777732629012
3D VINTAGE CHRISTMAS STICKERS ,2713,0.0,0.0
4 BLUE DINNER CANDLES SILVER FLOCK,213,0.0,0.0
4 BURGUNDY WINE DINNER CANDLES,545,0.0,0.0
4 FESTIVE GREEN DINNER CANDLES,53,0.0,0.0
4 GOLD FLOCK CHRISTMAS BALLS,134,0.0,0.0
4 IVORY DINNER CANDLES GOLD FLOCK,822,0.0,0.0
4 IVORY DINNER CANDLES SILVER FLOCK,1388,12.0,0.8645533141210375
4 LAVENDER BOTANICAL DINNER CANDLES,1168,0.0,0.0
4 LILY  BOTANICAL DINNER CANDLES,834,0.0,0.0
4 PEAR BOTANICAL DINNER CANDLES,1152,0.0,0.0
4 PINK DINNER CANDLE SILVER FLOCK,266,0.0,0.0
4 PINK FLOCK CHRISTMAS BALLS,185,0.0,0.0
4 ROSE PINK DINNER CANDLES,579,0.0,0.0
4 SKY BLUE DINNER CANDLES,469,0.0,0.0
4 TRADITIONAL SPINNING TOPS,8181,16.0,0.19557511306686226
4 VANILLA BOTANICAL CANDLES,1131,0.0,0.0
4 WILDFLOWER BOTANICAL CANDLES,698,0.0,0.0
5 HOOK BLACKBOARD ORGANISER ,325,25.0,7.6923076923076925
5 HOOK HANGER MAGIC TOADSTOOL,1774,50.0,2.818489289740699
5 HOOK HANGER RED MAGIC TOADSTOOL,4526,33.0,0.7291206363234645
5 STRAND GLASS NECKLACE AMBER,22,0.0,0.0
5 STRAND GLASS NECKLACE AMETHYST,36,0.0,0.0
5 STRAND GLASS NECKLACE BLACK,22,1.0,4.545454545454546
5 STRAND GLASS NECKLACE CRYSTAL,99,1.0,1.0101010101010102
50'S CHRISTMAS PAPER GIFT BAG,1342,1.0,0.07451564828614009
50CM METAL STRING WITH  7 CLIPS,326,0.0,0.0
6 CHOCOLATE LOVE HEART T-LIGHTS,2778,0.0,0.0
6 CROCHET STRAWBERRIES,964,0.0,0.0
6 EGG HOUSE PAINTED WOOD,1032,18.0,1.744186046511628
6 GIFT TAGS 50'S CHRISTMAS ,3740,60.0,1.6042780748663104
6 GIFT TAGS VINTAGE CHRISTMAS ,4007,24.0,0.5989518342899924
6 HOOK JEWEL STAND LILAC DRESS,1,0.0,0.0
6 HOOK JEWELLERY STAND BLACK DRESS,552,0.0,0.0
6 RABBIT CHAIN EASTER,69,0.0,0.0
6 RIBBONS ELEGANT CHRISTMAS ,3079,12.0,0.3897369275738876
6 RIBBONS EMPIRE  ,2353,0.0,0.0
6 RIBBONS RUSTIC CHARM,17238,117.0,0.6787330316742082
6 RIBBONS SHIMMERING PINKS ,2156,12.0,0.5565862708719851
6 ROCKET BALLOONS ,3891,75.0,1.927525057825752
6 SEGMENT COLOURED SNACK BOWL ,21,0.0,0.0
60 CAKE CASES DOLLY GIRL DESIGN,10050,240.0,2.3880597014925375
60 CAKE CASES VINTAGE CHRISTMAS,27970,552.0,1.973543081873436
60 GOLD AND SILVER FAIRY CAKE CASES,4248,24.0,0.5649717514124294
60 TEATIME FAIRY CAKE CASES,54028,350.0,0.6478122455023322
6PC WOOD PLATE SET DISPOSABLE,459,0.0,0.0
70'S ALPHABET WALL ART,150,0.0,0.0
72 CAKE CASES DOLLY GIRL DESIGN,943,0.0,0.0
72 CAKE CASES VINTAGE CHRISTMAS,4346,0.0,0.0
72 ROUND PINK DOILIES,128,12.0,9.375
72 SWEETHEART FAIRY CAKE CASES,34797,410.0,1.1782624938931519
75 BLACK FAIRY CAKE CASES,1019,0.0,0.0
75 BLACK PETIT FOUR CASES,571,0.0,0.0
75 GREEN FAIRY CAKE CASES,2194,4.0,0.18231540565177756
75 GREEN PETIT FOUR CASES,1522,0.0,0.0
A PRETTY THANK YOU CARD,456,0.0,0.0
A4 WALL TIDY BLUE OFFICE,244,0.0,0.0
A4 WALL TIDY RED FLOWERS,15,0.0,0.0
ABC TREASURE BOOK BOX ,2165,45.0,2.0785219399538106
ABSTRACT CIRCLE JOURNAL ,1045,10.0,0.9569377990430622
ABSTRACT CIRCLES NOTEBOOK,3258,0.0,0.0
ABSTRACT CIRCLES POCKET BOOK,5425,1.0,0.018433179723502304
ABSTRACT CIRCLES SKETCHBOOK ,685,4.0,0.583941605839416
"ACRYLIC BEAD CHAIN, BLUE",229,0.0,0.0
"ACRYLIC BEAD CHAIN, PINK",114,0.0,0.0
"ACRYLIC BEAD GARLAND,PINK",2,0.0,0.0
ACRYLIC GEOMETRIC LAMP,51,2.0,3.9215686274509802
"ACRYLIC HANGING JEWEL,BLUE",385,0.0,0.0
"ACRYLIC HANGING JEWEL,PINK",95,0.0,0.0
"ACRYLIC JEWEL ANGEL,BLUE",139,0.0,0.0
"ACRYLIC JEWEL ANGEL,PINK",297,0.0,0.0
"ACRYLIC JEWEL ICICLE, BLUE",408,0.0,0.0
"ACRYLIC JEWEL ICICLE, CLEAR ",1,0.0,0.0
"ACRYLIC JEWEL ICICLE, PINK",559,0.0,0.0
"ACRYLIC JEWEL SNOWFLAKE, PINK",168,0.0,0.0
"ACRYLIC JEWEL SNOWFLAKE,BLUE",238,0.0,0.0
"ACRYLIC JEWEL SNOWFLAKE,PINK",408,0.0,0.0
ADULT APRON APPLE DELIGHT,184,0.0,0.0
ADVENT CALENDAR GINGHAM SACK,2322,64.0,2.756244616709733
AFGHAN SLIPPER SOCK PAIR,2604,349.0,13.402457757296467
AGED GLASS SILVER T-LIGHT HOLDER,17770,102.0,0.5740011254924029
AIRLINE BAG VINTAGE JET SET BROWN,590,2.0,0.3389830508474576
AIRLINE BAG VINTAGE JET SET RED,1023,5.0,0.4887585532746823
AIRLINE BAG VINTAGE JET SET WHITE,529,0.0,0.0
AIRLINE BAG VINTAGE TOKYO 78,1828,18.0,0.9846827133479212
AIRLINE BAG VINTAGE WORLD CHAMPION ,604,7.0,1.1589403973509933
"AIRLINE LOUNGE,METAL SIGN",1207,1.0,0.08285004142502071
ALARM CLOCK BAKELIKE CHOCOLATE,2518,57.0,2.2637013502779983
ALARM CLOCK BAKELIKE GREEN,7671,65.0,0.8473471516099595
ALARM CLOCK BAKELIKE IVORY,3702,58.0,1.5667206915180982
ALARM CLOCK BAKELIKE ORANGE,2999,35.0,1.1670556852284095
ALARM CLOCK BAKELIKE PINK,6215,53.0,0.8527755430410298
ALARM CLOCK BAKELIKE RED ,9234,84.0,0.9096816114359974
ALPHABET HEARTS STICKER SHEET,866,0.0,0.0
ALPHABET STENCIL CRAFT,4570,679.0,14.857768052516413
ALUMINIUM HEART,30,0.0,0.0
ALUMINIUM STAMPED HEART,779,0.0,0.0
AMAZON FEE,3,33.0,1100.0
AMBER 3 BEAD DROP EARRINGS,9,0.0,0.0
AMBER BERTIE GLASS BEAD BAG CHARM,18,0.0,0.0
AMBER BERTIE MOBILE PHONE CHARM,21,0.0,0.0
AMBER CHUNKY BEAD BRACELET W STRAP,42,0.0,0.0
AMBER CHUNKY GLASS+BEAD NECKLACE,27,0.0,0.0
AMBER CRYSTAL DROP EARRINGS,8,0.0,0.0
AMBER DIAMANTE EXPANDABLE RING,55,13.0,23.636363636363637
AMBER DROP EARRINGS W LONG BEADS,53,6.0,11.320754716981133
AMBER FINE BEAD NECKLACE W TASSEL,12,0.0,0.0
AMBER GLASS BRACELET HEART CHARMS,9,0.0,0.0
AMBER GLASS TASSLE BAG CHARM,67,0.0,0.0
AMBER GLASS/SHELL/PEARL NECKLACE,14,0.0,0.0
AMBER GLASS/SILVER BRACELET,56,4.0,7.142857142857142
AMBER VINTAGE EARRINGS ,2,0.0,0.0
AMETHYST 3 BEAD DROP EARRINGS,6,0.0,0.0
AMETHYST CHUNKY BEAD BRACELET W STR,69,3.0,4.3478260869565215
AMETHYST DIAMANTE EXPANDABLE RING,67,19.0,28.35820895522388
AMETHYST DROP EARRINGS W LONG BEADS,28,0.0,0.0
AMETHYST GLASS/SHELL/PEARL NECKLACE,25,0.0,0.0
AMETHYST HOOP EARRING FLORAL LEAF,69,0.0,0.0
ANGEL DECORATION 3 BUTTONS ,7114,204.0,2.8675850435760473
ANGEL DECORATION PAINTED ZINC ,2473,0.0,0.0
ANGEL DECORATION STARS ON DRESS,5705,166.0,2.9097283085013146
ANGEL DECORATION WITH LACE PADDED,1698,96.0,5.6537102473498235
ANGEL ON KNEES METAL POLE 100CM H,6,0.0,0.0
ANIMAL STICKERS,3427,24.0,0.7003209804493726
ANIMALS AND NATURE WALL ART,267,0.0,0.0
ANT COPPER LIME BOUDICCA BRACELET,169,0.0,0.0
ANT COPPER PINK BOUDICCA BRACELET,138,0.0,0.0
ANT COPPER RED BOUDICCA BRACELET,70,0.0,0.0
ANT COPPER TURQ BOUDICCA BRACELET,147,0.0,0.0
ANT SILVER FUSCHIA BOUDICCA RING,42,0.0,0.0
ANT SILVER LIME GREEN BOUDICCA RING,55,1.0,1.8181818181818181
ANT SILVER PURPLE BOUDICCA RING,29,0.0,0.0
ANT SILVER TURQUOISE BOUDICCA RING,30,0.0,0.0
ANT WHITE HIGH RISE BIRD BOX,50,0.0,0.0
ANT WHITE IRON BASKET,33,0.0,0.0
ANT WHITE SWEETHEART TABLE W 3 DRAW,3,1.0,33.33333333333333
ANT WHITE WIRE HEART SPIRAL,1757,1.0,0.056915196357427436
ANTIQUE ALL GLASS CANDLESTICK,2297,5.0,0.21767522855899
ANTIQUE CREAM CUTLERY CUPBOARD,76,0.0,0.0
ANTIQUE CREAM CUTLERY SHELF ,114,0.0,0.0
ANTIQUE EDWARDIAN DRESSER,53,10.0,18.867924528301888
ANTIQUE GLASS DRESSING TABLE POT,2367,52.0,2.1968736797634136
ANTIQUE GLASS HEART DECORATION ,2088,19.0,0.9099616858237548
ANTIQUE GLASS PEDESTAL BOWL,1300,37.0,2.8461538461538463
ANTIQUE GLASS PLACE SETTING,869,13.0,1.4959723820483315
ANTIQUE GLASS RIDGED HANGING BALL,789,2.0,0.25348542458808615
ANTIQUE HEART SHELF UNIT,275,13.0,4.7272727272727275
ANTIQUE IVORY WIRE BOWL SMALL,99,11.0,11.11111111111111
ANTIQUE LILY FAIRY LIGHTS,2685,168.0,6.256983240223464
ANTIQUE MID BLUE FLOWER EARRINGS,13,1.0,7.6923076923076925
ANTIQUE OLIVE GREEN FLOWER EARRINGS,20,0.0,0.0
ANTIQUE OPAL WHITE FLOWER EARRINGS,11,0.0,0.0
ANTIQUE RASPBERRY FLOWER EARRINGS,11,0.0,0.0
ANTIQUE SILVER BAUBLE LAMP  ,376,13.0,3.4574468085106385
ANTIQUE SILVER BOOK MARK WITH BEADS,17,0.0,0.0
ANTIQUE SILVER T-LIGHT GLASS,14664,316.0,2.15493726132024
ANTIQUE SILVER TEA GLASS ENGRAVED,15810,37.0,0.23402909550917142
ANTIQUE SILVER TEA GLASS ETCHED,22032,134.0,0.6082062454611474
ANTIQUE TALL SWIRLGLASS TRINKET POT,1127,16.0,1.419698314108252
APOTHECARY MEASURING JAR,67,1.0,1.4925373134328357
APPLE BATH SPONGE,3459,10.0,0.28910089621277824
APRON APPLE DELIGHT,516,14.0,2.7131782945736433
APRON MODERN VINTAGE COTTON,677,3.0,0.4431314623338257
AQUA BERTIE GLASS BEAD BAG CHARM,44,0.0,0.0
ARCHED GREY MIRROR,86,0.0,0.0
AREA PATROLLED METAL SIGN,7479,129.0,1.7248295226634576
ARMY CAMO BOOKCOVER TAPE,33,0.0,0.0
ARMY CAMO WRAPPING TAPE,2251,1104.0,49.04486894713461
"ART LIGHTS,FUNK MONKEY",628,1.0,0.15923566878980894
ASS COL CIRCLE MOBILE ,752,0.0,0.0
ASS COL LARGE SAND FROG P'WEIGHT,716,6.0,0.8379888268156425
ASS COL LARGE SAND GECKO P'WEIGHT,810,4.0,0.49382716049382713
ASS COL SMALL SAND FROG P'WEIGHT,1150,0.0,0.0
ASS COL SMALL SAND GECKO P'WEIGHT,1620,2.0,0.12345679012345678
ASS COLOUR GLOWING TIARAS,746,0.0,0.0
ASS DES PHONE SPONGE CRAFT STICKER,1027,0.0,0.0
ASS FLORAL PRINT MULTI SCREWDRIVER,2853,36.0,1.2618296529968454
ASS FLORAL PRINT SCISSORS,6842,0.0,0.0
ASS FLORAL PRINT SPIRIT LEVEL ,160,1.0,0.625
ASS FLORAL PRINT TAPE MEASURE,284,0.0,0.0
ASS FLORAL PRINT TORCH,2567,1.0,0.038955979742890535
"ASS RETROSPOOF MUGS,SPORTS",143,0.0,0.0
ASS WINDPROOF MARIJUANA LIGHTERS,15,0.0,0.0
ASSORTED BOTTLE TOP  MAGNETS ,3281,90.0,2.7430661383724475
ASSORTED CAKES FRIDGE MAGNETS,2849,49.0,1.71990171990172
ASSORTED CHEESE FRIDGE MAGNETS,831,0.0,0.0
ASSORTED CIRCULAR MOBILE,1213,2.0,0.16488046166529266
ASSORTED COLOUR BIRD ORNAMENT,80082,511.0,0.6380959516495592
ASSORTED COLOUR JUMBO PEN,261,194.0,74.32950191570882
ASSORTED COLOUR LIZARD SUCTION HOOK,1463,16.0,1.0936431989063569
ASSORTED COLOUR METAL CAT ,226,0.0,0.0
ASSORTED COLOUR MINI CASES,3062,13.0,0.4245591116917048
ASSORTED COLOUR SET 6 TEASPOONS,268,3.0,1.1194029850746268
ASSORTED COLOUR SILK COIN PURSE,3558,131.0,3.6818437324339515
ASSORTED COLOUR SILK COSMETIC PURSE,1406,2.0,0.1422475106685633
ASSORTED COLOUR SILK GLASSES CASE,2004,0.0,0.0
ASSORTED COLOUR SUCTION CUP HOOK,358,0.0,0.0
ASSORTED COLOUR T-LIGHT HOLDER,6041,58.0,0.9601059427247144
ASSORTED COLOURED CIRCLE MOBILE ,64,0.0,0.0
ASSORTED COLOURS SILK FAN,44272,929.0,2.098391760028912
ASSORTED CREEPY CRAWLIES,7658,672.0,8.775137111517367
ASSORTED DESIGN FLOWER MUGS,7,0.0,0.0
ASSORTED DESIGN GEISHA GIRL MUGS,5,0.0,0.0
ASSORTED EASTER DECORATIONS  BELLS,877,21.0,2.394526795895097
ASSORTED EASTER GIFT TAGS,1230,0.0,0.0
ASSORTED FARMYARD ANIMALS IN BUCKET,3859,0.0,0.0
ASSORTED FLORAL SECATEURS,3177,3.0,0.09442870632672333
"ASSORTED FLOWER COLOUR ""LEIS""",24794,72.0,0.2903928369766879
ASSORTED FRAGRANCE BATH CONFETTI,64,0.0,0.0
ASSORTED FRUIT STRAWS,1,0.0,0.0
ASSORTED ICE CREAM FRIDGE MAGNETS,2869,96.0,3.346113628441966
ASSORTED INCENSE PACK,10625,0.0,0.0
ASSORTED LAQUERED INCENSE HOLDERS,6240,0.0,0.0
ASSORTED MINI MADRAS NOTEBOOK,1771,121.0,6.832298136645963
ASSORTED MONKEY SUCTION CUP HOOK,1177,49.0,4.163126593033136
ASSORTED SANSKRIT MINI NOTEBOOK,1358,18.0,1.3254786450662739
ASSORTED SANTA CHRISTMAS DECORATION,50,0.0,0.0
ASSORTED SHAPED STENCIL FOR HENNA,52,0.0,0.0
ASSORTED SHAPES PHOTO CLIP SILVER ,1220,24.0,1.9672131147540985
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,2225,0.0,0.0
ASSORTED TUTTI FRUTTI BRACELET,3204,28.0,0.8739076154806492
ASSORTED TUTTI FRUTTI HEART BOX,1087,28.0,2.5758969641214353
ASSORTED TUTTI FRUTTI KEYRING,259,8.0,3.088803088803089
ASSORTED TUTTI FRUTTI KEYRING BALL,1666,0.0,0.0
ASSORTED TUTTI FRUTTI LARGE PURSE,848,4.0,0.4716981132075472
ASSORTED TUTTI FRUTTI MIRROR,1521,14.0,0.9204470742932281
ASSORTED TUTTI FRUTTI NOTEBOOK,1020,8.0,0.7843137254901961
ASSORTED TUTTI FRUTTI PEN,4413,266.0,6.027645592567414
ASSORTED TUTTI FRUTTI PHOTO FRAME,421,4.0,0.9501187648456058
ASSORTED TUTTI FRUTTI ROUND BOX,969,30.0,3.0959752321981426
ASSORTED TUTTI FRUTTI SMALL PURSE,2940,256.0,8.707482993197278
ASSORTED WHITE EMBOSSED CHINA MUGS,700,1.0,0.14285714285714285
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,497,0.0,0.0
ASSTD DESIGN 3D PAPER STICKERS,1734,120.0,6.920415224913495
ASSTD DESIGN BUBBLE GUM RING,22936,1740.0,7.586327171259157
ASSTD DESIGN POP ART SLIM PEN,687,1.0,0.1455604075691412
ASSTD DESIGN RACING CAR PEN,4829,811.0,16.794367363843445
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,3096,163.0,5.264857881136951
ASSTD HEARTS DESIGN MUGS,321,0.0,0.0
ASSTD MULTICOLOUR CIRCLES MUG,1739,4.0,0.23001725129384704
ASSTD RASTA KEY-CHAINS,36,0.0,0.0
Adjust bad debt,1,5.0,500.0
Adjustment by Peter on Jun 25 2010 ,3,0.0,0.0
Adjustment by john on 26/01/2010 16,20,18.0,90.0
Adjustment by john on 26/01/2010 17,16,10.0,62.5
BABUSHKA LIGHTS STRING OF 10,1736,58.0,3.3410138248847927
BABY BOOM RIBBONS ,2110,25.0,1.1848341232227488
BABY MOUSE RED GINGHAM DRESS,437,3.0,0.6864988558352403
BAG 125g SWIRLY MARBLES,14577,171.0,1.1730808808396789
BAG 250g SWIRLY MARBLES,17175,702.0,4.0873362445414845
BAG 500g SWIRLY MARBLES,2534,26.0,1.0260457774269929
BAG FOR CHILDREN VINTAGE BLUE ,96,0.0,0.0
BAG FOR CHILDREN VINTAGE PINK ,96,0.0,0.0
BAG OF SILVER STONES,300,0.0,0.0
BAKING MOULD CHOCOLATE CUP CAKES,12,0.0,0.0
BAKING MOULD CHOCOLATE CUPCAKES,948,13.0,1.3713080168776373
BAKING MOULD CUPCAKE CHOCOLATE,12,0.0,0.0
BAKING MOULD EASTER EGG MILK CHOC,940,156.0,16.595744680851062
BAKING MOULD EASTER EGG WHITE CHOC,589,3.0,0.5093378607809848
BAKING MOULD HEART MILK CHOCOLATE,1108,96.0,8.664259927797833
BAKING MOULD HEART WHITE CHOCOLATE,813,0.0,0.0
BAKING MOULD ROSE MILK CHOCOLATE,690,72.0,10.434782608695652
BAKING MOULD ROSE WHITE CHOCOLATE,279,72.0,25.806451612903224
BAKING MOULD TOFFEE CUP  CHOCOLATE,6,0.0,0.0
BAKING MOULD TOFFEE CUP CHOCOLATE,878,120.0,13.66742596810934
BAKING SET 9 PIECE RETROSPOT ,9366,859.0,9.171471279094598
BAKING SET SPACEBOY DESIGN,4251,243.0,5.716302046577276
BALLERINA HEART DECORATION.,347,0.0,0.0
BALLOON ART MAKE YOUR OWN FLOWERS,1459,0.0,0.0
BALLOON PUMP WITH 10 BALLOONS,2547,18.0,0.7067137809187279
BALLOON WATER BOMB PACK OF 35,8523,44.0,0.5162501466619734
BALLOONS  WRITING SET ,2441,0.0,0.0
BANK ACCOUNT  GREETING  CARD ,1107,0.0,0.0
BANQUET BIRTHDAY  CARD  ,4029,12.0,0.29784065524944153
BAROQUE BUTTERFLY EARRINGS BLACK,2,0.0,0.0
BAROQUE BUTTERFLY EARRINGS CRYSTAL,8,0.0,0.0
BAROQUE BUTTERFLY EARRINGS GREEN,6,0.0,0.0
BAROQUE BUTTERFLY EARRINGS MONTANA,7,0.0,0.0
BAROQUE BUTTERFLY EARRINGS PINK,5,0.0,0.0
BAROQUE BUTTERFLY EARRINGS RED,3,0.0,0.0
BASKET OF FLOWERS SEWING KIT,1820,1.0,0.054945054945054944
BASKET OF TOADSTOOLS,2259,408.0,18.06108897742364
BASKET/8 SCENTED LOVE TOKEN CANDLES,122,10.0,8.19672131147541
BATH BUILDING BLOCK WORD,1612,6.0,0.37220843672456577
BATH DUCK WATERING CAN,848,49.0,5.778301886792453
BATHROOM HOOK,146,0.0,0.0
BATHROOM METAL SIGN,13249,295.0,2.226583138350064
BATHROOM METAL SIGN ,1845,0.0,0.0
